iter	Passed	Remaining
0	0	87
1	1	75
2	2	68
3	2	60
4	3	57
5	3	55
6	4	53
7	4	52
8	5	51
9	5	50
10	6	50
11	6	49
12	7	48
13	7	48
14	8	47
15	8	47
16	9	46
17	10	45
18	10	45
19	11	45
20	11	44
21	12	43
22	13	43
23	13	43
24	14	42
25	14	42
26	15	41
27	16	41
28	16	40
29	17	40
30	17	39
31	18	39
32	19	38
33	19	37
34	20	37
35	20	36
36	21	35
37	21	35
38	22	34
39	22	34
40	23	33
41	23	32
42	24	31
43	24	31
44	25	30
45	25	30
46	26	29
47	26	29
48	27	28
49	27	27
50	28	27
51	29	26
52	29	26
53	30	25
54	30	25
55	31	24
56	31	23
57	32	23
58	32	22
59	33	22
60	33	21
61	34	21
62	35	20
63	35	20
64	36	19
65	37	19
66	37	18
67	38	17
68	38	17
69	39	16
70	39	16
71	40	15
72	41	15
73	41	14
74	42	14
75	42	13
76	43	12
77	43	12
78	44	11
79	44	11
80	45	10
81	46	10
82	46	9
83	47	8
84	47	8
85	48	7
86	48	7
87	49	6
88	50	6
89	50	5
90	51	5
91	51	4
92	52	3
93	52	3
94	53	2
95	53	2
96	54	1
97	55	1
98	55	0
99	56	0
